content,content_stem,score,target
"Convenient, easy to get whatever you want from shopee.",conveni easi get whatev want,5,0
"Don't rush to pay the sellers, check your items thoroughly before releasing payment. Shopee doesn't really reply to your problems after payment is released.",rush pay check thoroughli releas payment realli repli problem payment releas,1,1
Very vert gd apps,vert gd app,5,0
I hate ur advertisement it's annoying,hate ur advertis annoy,1,1
"It is a great platform to shop online. Beware, it is addictive when items are selling at good deal. 😝",great platform shop onlin bewar addict sell good deal,5,0
Good,good,3,1
Worst advertisements on YouTube,worst advertis youtub,1,1
"Cant get into shopee shake page, not sure why",cant get shake page sure,4,0
Nice shopee,nice,1,1
Having pleasant experience on Shopee. Love to browse thru the app and find surprise buy.,pleasant experi love brows thru find surpris buy,4,0
Good,good,5,0
"One of the sellers hotwind.sg, selling items from overseas which is not indicated on the info. Anything coming from overseas especially during this pandemic must be well noted by the seller and shopee. Did try to negotiate yo cancel/refund but shopee declined. Did mention that the seller hotwind.sg,assuming all items are already here in sg is a great relief, instead shopee needs to earn some revenue even they have to put customer's health at risk... Better use other online who values clients",one hotwind sg sell oversea indic info anyth come oversea especi pandem must well note tri negoti yo cancel refund declin mention hotwind sg assum alreadi sg great relief instead need earn revenu even put custom health risk better use onlin valu client,1,1
"I confirmed my order and it's gone now. I was transferring paying via bank transfer and i pressed "" i dont have a receipt, I'll upload later"". Now, my order is gone. Super unsatisfied. PLEASE Help me ASAP",confirm order gone transfer pay via bank transfer press dont receipt upload later order gone super unsatisfi pleas help asap,2,1
Smoother than other e commerce apps in sea. Better deals as well,smoother e commerc app sea better deal well,5,0
So far so good,far good,4,0
So far so good 👍,far good,5,0
Good app! Satisfied costumer here.,good satisfi costum,5,0
the app lags so much makes it 10x harder to shop,lag much make x harder shop,3,1
Always good.,alway good,5,0
Tried reaching out to customer service for item not received but charged. Been 3 months and issue not resolved.,tri reach custom servic receiv charg month issu resolv,1,1
"I love Shoppe as there are is a wide selection of products and there are often exclusive offers. There are many exciting games, and I can win free vouchers and coins so I can get a discount off my products that I purchased.",love shopp wide select product often exclus offer mani excit game win free voucher coin get discount product purchas,5,0
Hi i just want to ask if you have in you delivered in hongkong,hi want ask deliv hongkong,3,1
"Current issue, unable to find my added favorite by using web explorer.",current issu unabl find ad favorit use web explor,4,0
I cannot set up may address. Keeps on saying invalid postal code.,cannot set may address keep say invalid postal code,1,1
Good on line shopping app. good,good line shop good,5,0
it was abit slow (due to covid 19) but has a very reasonable price,abit slow due covid reason price,4,0
Cancel orders as requested by seller but no acknowlegement,cancel order request acknowleg,4,0
Hi I cannot open the app. Please advice. Thanks.,hi cannot open pleas advic thank,2,1
Buyer cannot edit or chnage review after purchase,buyer cannot edit chnage review purchas,1,1
"Well coordinated n monitoring from ordering, packing, delivery and received...",well coordin n monitor order pack deliveri receiv,5,0
Shopee SG it good but the seller delivery sometimes take too long to ship out shopee sure not pushing this matter to the customer who buy online thanks,sg good deliveri sometim take long ship sure push matter custom buy onlin thank,4,0
Recieved on time,reciev time,5,0
"Easy to use , received stocks safety",easi use receiv stock safeti,5,0
Trustworthy,trustworthi,5,0
Overall shopping experience is good.. with minimum cancellations..,overal shop experi good minimum cancel,5,0
Best app for online buyers...,best onlin buyer,5,0
Very fast delivery and good quality!Thank you!,fast deliveri good qualiti thank,5,0
"It's a scam. Shopee ""guarantees"" a refund if the goods are not received as described. However, i have paid shopee on 24th Jan, and the goods were not even shipped out yet, today on 9th Feb. It's not even on a boat to me at the moment. The seller simply refused to talk to me, and refused to ship. Meanwhile, shopee won't let me cancel the order, because the seller refused the cancel request. My money is gone and i'm not getting the goods. Seems like shopee has simply pocketed my money.",scam guarante refund good receiv describ howev paid th jan good even ship yet today th feb even boat moment simpli refus talk refus ship meanwhil let cancel order refus cancel request money gone get good seem like simpli pocket money,1,1
